,movie,chapter,character,dialog,gender,releaseYear
777,Harry Potter and the Half-Blood Prince,Hiding the Book,harry potter,Who showed you this?  First.,male,2009
778,Harry Potter and the Half-Blood Prince,Hiding the Book,ginny weasley,Fred and George.  First year.  I hid Tom Riddle's diary here for a time.  Wish I'd left it...,female,2009
779,Harry Potter and the Half-Blood Prince,Hiding the Book,ginny weasley,What was that?,female,2009
780,Harry Potter and the Half-Blood Prince,Hiding the Book,ginny weasley,"See, you never know what you'll find up here.",female,2009
781,Harry Potter and the Half-Blood Prince,Hiding the Book,ginny weasley,All right.  Close your eyes.  That way you can't be tempted.,female,2009
782,Harry Potter and the Half-Blood Prince,Hiding the Book,ginny weasley,There's something else.  Another secret of sorts.  One of mine...,female,2009
783,Harry Potter and the Half-Blood Prince,Hiding the Book,ginny weasley,"That can stay hidden up here too, if you like.",female,2009
784,Harry Potter and the Half-Blood Prince,Liquid Luck,ron weasley,So.  Did you and Ginny do it?,male,2009
785,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,What?,male,2009
786,Harry Potter and the Half-Blood Prince,Liquid Luck,ron weasley,You know.  Hide the book.,male,2009
787,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,Oh.  Yeah.,male,2009
788,Harry Potter and the Half-Blood Prince,Liquid Luck,ron weasley,"Still no luck with Slughorn, I take it?",male,2009
789,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,Say that again.,male,2009
790,Harry Potter and the Half-Blood Prince,Liquid Luck,hermione granger,Well?  How do you feel?,female,2009
791,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,Excellent.  Really excellent.,male,2009
792,Harry Potter and the Half-Blood Prince,Liquid Luck,hermione granger,"Now remember.  Slughorn usually eats early, takes a short walk and then returns to his office.",female,2009
793,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,Right.  I'm going down to Hagrid's.,male,2009
794,Harry Potter and the Half-Blood Prince,Liquid Luck,hermione granger,"What?  No, Harry -- you've got to go see Slughorn.  We have a plan --",female,2009
795,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,"No.  I've got a good feeling about going to Hagrid's.  I feel like it's the place to be tonight, know what I mean?",male,2009
796,Harry Potter and the Half-Blood Prince,Liquid Luck,hermione granger,No.,female,2009
797,Harry Potter and the Half-Blood Prince,Liquid Luck,ron weasley,No.,male,2009
798,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,Trust me.  I know what I'm doing. Or at least Felix does.,male,2009
799,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,"Merlin's beard, Harry!",male,2009
800,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,"Sorry, sir.  I should've announced myself.  Cleared my throat. Coughed.  You probably feared I was Madam Sprout.",male,2009
801,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,"Well, yes, actually -- Why would you think that?",male,2009
802,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,"Just the general behavior, sir. The sneaking around.  The jumping when you saw me.  By the way, those Tentacula leaves -- they're quite valuable, aren't they?",male,2009
803,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,"Ten galleons a leaf to the right buyer -- not that I'm familiar with such back alley transactions. One hears rumors is all.  My own interests are purely academic, of course.",male,2009
804,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,"Personally, these plants have always kind of freaked me out.",male,2009
805,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,"Exactly how did you get out of the castle, Harry?",male,2009
806,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,"Through the front doors, sir.  I'm off to Hagrid's, you see.  He's a very dear friend and I felt like paying him a visit.  So if you don't mind, I'll be going.",male,2009
807,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,Harry!,male,2009
808,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,Sir?,male,2009
809,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,It's nearly nightfall.  Surely you realize I can't allow you to roam the grounds all by yourself.,male,2009
810,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,"Well, then by all means come along, sir.",male,2009
811,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,"Harry, I must insist you accompany me back to the castle immediately!",male,2009
812,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,"That would be counterproductive, sir.",male,2009
813,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,And what makes you say that?,male,2009
814,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,No idea.,male,2009
815,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,Merlin's beard...,male,2009
816,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,Is that an actual Acromantula?,male,2009
817,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,"A dead one, I think, sir.",male,2009
818,Harry Potter and the Half-Blood Prince,Liquid Luck,rubeus hagrid,'Arry.  'Orace.,male,2009
819,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,"My god, dear man.  How did you ever manage to kill it?",male,2009
820,Harry Potter and the Half-Blood Prince,Liquid Luck,rubeus hagrid,"Kill 'im! Me oldest friend, 'e was!",male,2009
821,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,"I'm sorry, I... didn't realize.",male,2009
822,Harry Potter and the Half-Blood Prince,Liquid Luck,rubeus hagrid,"Ah, don' worry yerself.  Yer not alone.  Seriously misunderstood creatures -- spiders.  It's the eyes, I reckon.  Unnerve people.",male,2009
823,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,Not to mention the pincers.,male,2009
824,Harry Potter and the Half-Blood Prince,Liquid Luck,rubeus hagrid,I reckon that too... How'd yeh get outta the castle anyways?,male,2009
825,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,Through the front doors.,male,2009
826,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,"Hagrid.  I wouldn't want to be indelicate, but Acromantula venom is uncommonly rare and, well, if you wouldn't mind my extracting a vial or two -- purely for academic pursuits...",male,2009
827,Harry Potter and the Half-Blood Prince,Liquid Luck,rubeus hagrid,"Don' suppose it's doin' 'im any good, izzit?",male,2009
828,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,"My thoughts exactly!  Always carry a few spare ampoules for just such occasions.  Old Potion Master's habit, you know...",male,2009
829,Harry Potter and the Half-Blood Prince,Liquid Luck,rubeus hagrid,Wish yeh coulda seen 'im in 'is prime.  Magnificent 'e was.  Jus' magnificent...,male,2009
830,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,Why don't I say a few words?  I trust he had family?,male,2009
831,Harry Potter and the Half-Blood Prince,Liquid Luck,harry potter,Oh yeah.,male,2009
832,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,Farewell...,male,2009
833,Harry Potter and the Half-Blood Prince,Liquid Luck,rubeus hagrid,Aragog.,male,2009
834,Harry Potter and the Half-Blood Prince,Liquid Luck,horace slughorn,"Farewell, Aragog, king of arachnids.  Though your body will decay, your spirit lingers on in the quiet, web-spun places of your Forest home.  May your many-eyed descendents ever flourish and your human friends find solace for the loss they have sustained.",male,2009
835,Harry Potter and the Half-Blood Prince,Liquid Luck,rubeus hagrid,Tha' was... tha' was... beautiful.,male,2009
836,Harry Potter and the Half-Blood Prince,After Aragog's Burial,horace slughorn,"And Odo the hero, they bore him back home...",male,2009
837,Harry Potter and the Half-Blood Prince,After Aragog's Burial,rubeus hagrid,"To the place he'd known as a lad, They laid him to rest with his hat inside out and his wand snapped in two, which was sad...",male,2009
838,Harry Potter and the Half-Blood Prince,After Aragog's Burial,rubeus hagrid,"I had 'im from an egg, yeh know. Tiny little thing he was when he hatched.  No bigger'n a Pekinese.",male,2009
839,Harry Potter and the Half-Blood Prince,After Aragog's Burial,horace slughorn,Sweet.  I once had a fish. Francis.  Lovely little thing. One day I came downstairs and he'd vanished.  Poof.,male,2009
840,Harry Potter and the Half-Blood Prince,After Aragog's Burial,rubeus hagrid,Tha's odd.,male,2009
841,Harry Potter and the Half-Blood Prince,After Aragog's Burial,horace slughorn,"Isn't it?  That's life, I suppose. One goes along and then... poof.",male,2009
842,Harry Potter and the Half-Blood Prince,After Aragog's Burial,horace slughorn,"That's never unicorn hair, Hagrid?",male,2009
843,Harry Potter and the Half-Blood Prince,After Aragog's Burial,horace slughorn,"Hagrid looks up, reels a bit.  Nods.",male,2009
844,Harry Potter and the Half-Blood Prince,After Aragog's Burial,horace slughorn,"But my dear chap, do you know how much that's worth?",male,2009
845,Harry Potter and the Half-Blood Prince,After Aragog's Burial,rubeus hagrid,No idea... no idea at all...,male,2009
846,Harry Potter and the Half-Blood Prince,After Aragog's Burial,horace slughorn,"It was a student who gave me Francis.  One spring afternoon I discovered a bowl upon my desk with a few inches of clear water. There was a flower petal floating upon the surface.  As I watched, the petal sank, but just before it touched bottom... it transformed. Into a wee fish.  It was beautiful magic, wondrous to behold.  The petal had come from a lily.",male,2009
847,Harry Potter and the Half-Blood Prince,After Aragog's Burial,horace slughorn,"Your mother.  The day I came downstairs, the day I found the bowl empty... was the day she...",male,2009
848,Harry Potter and the Half-Blood Prince,After Aragog's Burial,horace slughorn,I know what you want.  But I can't give it to you.  It will ruin me...,male,2009
849,Harry Potter and the Half-Blood Prince,After Aragog's Burial,harry potter,Do you know why I survived?  The night I got this.,male,2009
850,Harry Potter and the Half-Blood Prince,After Aragog's Burial,harry potter,Because of her.  Because she sacrificed herself.  Because she refused to step aside.  Because her love was more powerful than Voldemort.,male,2009
851,Harry Potter and the Half-Blood Prince,After Aragog's Burial,horace slughorn,Please don't say his --,male,2009
852,Harry Potter and the Half-Blood Prince,After Aragog's Burial,harry potter,"I'm not afraid of the name, Professor.  And I'm not afraid of him.  And you shouldn't be either. She didn't just die for me that night.  She died for you too.  She died for everyone who's ever woken in the middle of the night afraid a Death Eater waited on their doorstep.",male,2009
853,Harry Potter and the Half-Blood Prince,After Aragog's Burial,harry potter,"Professor.  I'm going to tell you something, something others have only guessed at.  It's true.  I am the Chosen One.",male,2009
854,Harry Potter and the Half-Blood Prince,After Aragog's Burial,harry potter,"Only I can kill him.  But in order to do so, I need to know what Tom Riddle asked you that night in your office all those years ago. And I need to know what you told him.",male,2009
855,Harry Potter and the Half-Blood Prince,After Aragog's Burial,harry potter,"Be brave, Professor.  Be brave like my mother.  Otherwise you disgrace her.  Otherwise she died for nothing.  Otherwise, the bowl remains empty forever.",male,2009
856,Harry Potter and the Half-Blood Prince,After Aragog's Burial,horace slughorn,Don't think too badly of me once you've seen it.  You don't know what he was like... even then.,male,2009
857,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,How is he?  Horace?,male,2009
858,Harry Potter and the Half-Blood Prince,Horcruxes,tom riddle,"Sir, is it true that Professor Merrythought is retiring?",male,2009
859,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,"Now, Tom, I couldn't tell you if I knew, could I?  I must say, m'boy, I'd like to know where you get your information.  More knowledgable than half the staff, you are. By the way, thank you for the pineapple -- you're quite right, it is my favorite -- how is it you knew?",male,2009
860,Harry Potter and the Half-Blood Prince,Horcruxes,tom riddle,Intuition.,male,2009
861,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,"Good gracious, is it that time already?  Off you go, boys, or Professor Dippett will have us all in detention.  Lestrange, Avery, don't forget your essays...",male,2009
862,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,"Look sharp, Tom.  You don't want to be caught out of bed after hours...",male,2009
863,Harry Potter and the Half-Blood Prince,Horcruxes,tom riddle,I know a secret shortcut or two.,male,2009
864,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,"Yes, I imagine you do.  Something on your mind, Tom?",male,2009
865,Harry Potter and the Half-Blood Prince,Horcruxes,tom riddle,"Yes, sir.  I couldn't think of anyone else to go to.  The other Professors, well, they're not like you.  They might... misunderstand.",male,2009
866,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,Go on.,male,2009
867,Harry Potter and the Half-Blood Prince,Horcruxes,tom riddle,"I was in the library the other night, in the Restricted section, and I read something rather odd, about a bit of rare magic and I thought perhaps you could illuminate me.  It's called, as I understand it... a Horcrux.",male,2009
868,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,Excuse me?,male,2009
869,Harry Potter and the Half-Blood Prince,Horcruxes,tom riddle,Horcrux.  I came across the term while reading and I didn't fully understand it.,male,2009
870,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,"I'm not sure what you were reading, Tom, but that's very Dark stuff, very Dark indeed.",male,2009
871,Harry Potter and the Half-Blood Prince,Horcruxes,tom riddle,"Yes, sir.  Which is why I came to you.  I mean no disrespect to the rest of the staff, but I thought if anyone could tell me... it would be you.",male,2009
872,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,A Horcrux is an object in which a person has concealed part of their soul.,male,2009
873,Harry Potter and the Half-Blood Prince,Horcruxes,tom riddle,"Yes, I thought it might be something like that.  But I don't understand how that works, sir.",male,2009
874,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,"One splits one's soul and hides part of it in an object.  By doing so, you are protected should you be attacked and your body destroyed.",male,2009
875,Harry Potter and the Half-Blood Prince,Horcruxes,tom riddle,Protected?,male,2009
876,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,"That part of your soul that was hidden, lives on.  In other words, you cannot die.",male,2009
877,Harry Potter and the Half-Blood Prince,Horcruxes,tom riddle,"How does one split his soul, sir?",male,2009
878,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,"I think you can guess the answer to that, Tom.",male,2009
879,Harry Potter and the Half-Blood Prince,Horcruxes,tom riddle,Murder.,male,2009
880,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,"Yes.  Killing rips the soul apart. It is a violation against nature. After, one is never the same.",male,2009
881,Harry Potter and the Half-Blood Prince,Horcruxes,tom riddle,"Out of curiosity, sir -- can you only split your soul once?  For instance, isn't seven the most powerfully magical number --",male,2009
882,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,"Seven!  Merlin's beard, Tom! Isn't it bad enough to think of killing one person?  To rip the soul into seven pieces...",male,2009
883,Harry Potter and the Half-Blood Prince,Horcruxes,horace slughorn,"This is all hypothetical, isn't it, Tom?  All academic...",male,2009
884,Harry Potter and the Half-Blood Prince,Horcruxes,tom riddle,"Of course, sir.  And I promise I'll not speak of our conversation.  It'll be our little secret...",male,2009
885,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,Sir --,male,2009
886,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,This is beyond anything I imagined.  In my life I have seen things that are unimaginably horrific.  I know now... you will see worse.,male,2009
887,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"Do you mean to say he succeeded, sir?  In making a Horcrux?",male,2009
888,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"Oh he succeeded.  And not just once.  Think, Harry.  He's just told us.",male,2009
889,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,Seven.  He made seven -- the most powerfully magical number.  But... what are they exactly?,male,2009
890,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"They can be anything.  The most commonplace of objects.  A ring, for example.  Or a book...",male,2009
891,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,Tom Riddle's diary --,male,2009
892,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"It's a Horcrux, yes.  Four years ago, when you saved Ginny Weasley's life in the Chamber of Secrets, when you brought me this I knew.  This was a different kind of magic.  Very dark.  Very powerful.  But until tonight, I had no idea just how powerful...",male,2009
893,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,And the ring...?,male,2009
894,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Belonged to Voldemort's mother. It was difficult to find and...,male,2009
895,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,... even more difficult to destroy. But if you could find them all. If you did destroy each Horcrux...,male,2009
896,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,One destroys Voldemort.,male,2009
897,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"But how would you find them?  They could be hidden anywhere, couldn't they...",male,2009
898,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"True.  But magic, especially Dark magic...",male,2009
899,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,... leaves traces.,male,2009
900,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"It's where you've been going, isn't it, sir?  When you leave the school.",male,2009
901,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Yes.  And I think... perhaps... I may have found another.  But this time I cannot hope to destroy it alone.,male,2009
902,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"Once again, I shall ask too much of you.",male,2009
903,Harry Potter and the Half-Blood Prince,Horcruxes,hermione granger,Harry.  It's time.,female,2009
904,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"Hermione, is the Room of Requirement unplottable?",male,2009
905,Harry Potter and the Half-Blood Prince,Horcruxes,hermione granger,If one wants it to be.  Why?,female,2009
906,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,It would explain why I thought Malfoy was leaving the castle when he disappeared off the Map.,male,2009
907,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,He was going to the Room of Requirement.,male,2009
908,Harry Potter and the Half-Blood Prince,Horcruxes,hermione granger,"Of course, and that explains the Vanishing Cabinet as well!",female,2009
909,Harry Potter and the Half-Blood Prince,Horcruxes,ron weasley,No.  I got an owl from Dad this morning.  The one at Borgin & Burke's?  It's still there.,male,2009
910,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,But I'm telling you.  I saw it --,male,2009
911,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,What if there are two?  Vanishing cabinets.,male,2009
912,Harry Potter and the Half-Blood Prince,Horcruxes,hermione granger,What if there are?,female,2009
913,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,I don't know...,male,2009
914,Harry Potter and the Half-Blood Prince,Horcruxes,ron weasley,"Good luck, mate.",male,2009
915,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,I don't need luck.  I'll be with Dumbledore.,male,2009
916,Harry Potter and the Half-Blood Prince,Horcruxes,severus snape,Have you ever considered that you ask too much?  That you take too much for granted?  Has it ever crossed your brilliant mind that I don't want to do this anymore?,male,2009
917,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"Whether it has or hasn't is irrelevant.  I will not negotiate this with you, Severus.  You agreed.  There's nothing more to discuss.",male,2009
918,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"Harry.  You need a shave, my friend.",male,2009
919,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"At times I forget how much you've grown.  At times I still see the small boy from the cupboard. Forgive my mawkishness, Harry.  I am an old man.",male,2009
920,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"You look the same to me, sir.",male,2009
921,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"Like your mother, you are unfailingly kind.",male,2009
922,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,A trait people never fail to undervalue.  I'm afraid.,male,2009
923,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"The place to which we journey tonight is exceedingly dangerous, Harry.  I promised that you could accompany me and I stand by that promise.  But there is a condition:  You must obey any command I give you -- without question.",male,2009
924,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"Yes, sir.",male,2009
925,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"Understand what I'm saying. Should I tell you to hide, you must hide.",male,2009
926,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"Should I tell you to run, you will run.",male,2009
927,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,And should I tell you to abandon me and save yourself...,male,2009
928,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,You will do so.,male,2009
929,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"Your word, Harry.",male,2009
930,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,My word.,male,2009
931,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Take my arm.,male,2009
932,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"Sir, I thought one couldn't Apparate within Hogwarts.",male,2009
933,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Being me has its privileges.,male,2009
934,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"It's there, isn't it?",male,2009
935,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"This is the place.  Oh yes, this place has known magic. Where you stand, Harry, Tom Riddle once stood many, many years ago, when he was but a poor orphan boy with a penchant for cruelty...",male,2009
936,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"One wintry afternoon, he lured two younger classmates to this cave. What happened is unclear.  But this much is known:  the children were damaged.",male,2009
937,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,Sir!,male,2009
938,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"In order to gain passage, payment must be made, payment intended to weaken any intruder.",male,2009
939,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"You should've let me, sir.",male,2009
940,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"Oh, no, Harry.  Your blood is much more precious than mine.",male,2009
941,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Careful.  The water.,male,2009
942,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,It's there.  The only question is how do we get to it?,male,2009
943,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"We couldn't, perhaps, just try a Summoning Charm, sir?",male,2009
944,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,Accio Horcrux!,male,2009
945,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Perhaps not.,male,2009
946,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"If you would, Harry...",male,2009
947,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,Sir... have you ever taken Felix Felicis?,male,2009
948,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"Only recreationally.  You see, I believe one creates one's own luck.",male,2009
949,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,Professor... there are bodies in this lake.,male,2009
950,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Yes.,male,2009
951,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Remember... the water.,male,2009
952,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"Do you think the Horcrux is in there, sir?",male,2009
953,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Oh yes.,male,2009
954,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,It has to be drunk.,male,2009
955,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"You remember the condition on which I brought you with me? This potion might paralyze me.  It might cause me to forget why I'm here.  It might create so much pain I beg for relief.  You are not to indulge these requests, Harry.  It is your job to make sure I keep drinking this potion even if you have to force it down my throat.  Understood?",male,2009
956,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"Why can't I drink it, sir?",male,2009
957,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"Because I am much older, much cleverer... and much less valuable. Your good health, Harry.",male,2009
958,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,Professor?,male,2009
959,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,Professor?  Can you hear me?,male,2009
960,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Don't... don't make me...,male,2009
961,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"You... you can't stop, Professor. You've got to keep drinking.  Like you said.  Remember.",male,2009
962,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Nooooooo!!!,male,2009
963,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Make it stop... Please... make it stop...,male,2009
964,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"It will, sir.  It'll stop.  But only if you drink...",male,2009
965,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,My fault.  It's all my fault...,male,2009
966,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"Too much... I can't... take it... I want... to die... kill... kill me... KILL ME, HARRY!",male,2009
967,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,What?,male,2009
968,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"Your word, Harry!  Your word!",male,2009
969,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,No...,male,2009
970,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Kill me!  It's the only way!,male,2009
971,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,One more.  Just one more.  And then -- I promise... I'll do what you say.,male,2009
972,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,I promise.,male,2009
973,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Water. Water...,male,2009
974,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Aguamenti.,male,2009
975,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"You did it, sir.  Look --",male,2009
976,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Water!,male,2009
977,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"I'm trying, sir.  I'm --",male,2009
978,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,Go...,male,2009
979,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,We have to... go.,male,2009
980,Harry Potter and the Half-Blood Prince,Horcruxes,harry potter,"Don't worry, sir.  We're nearly there.",male,2009
981,Harry Potter and the Half-Blood Prince,Horcruxes,albus dumbledore,"I am not worried, Harry.  I am with you.",male,2009
982,Harry Potter and the Half-Blood Prince,The Astronomy Tower,minerva mcgonagall,To your Houses.  No dawdling.,female,2009
983,Harry Potter and the Half-Blood Prince,The Astronomy Tower,harry potter,"We need to get you up to the hospital, sir, to Madam Pomfrey --",male,2009
984,Harry Potter and the Half-Blood Prince,The Astronomy Tower,albus dumbledore,No.  Severus... Severus is who I need... Go and wake him... Tell him what has happened...,male,2009
985,Harry Potter and the Half-Blood Prince,The Astronomy Tower,albus dumbledore,Speak to no one else... I... I shall wait here...,male,2009
986,Harry Potter and the Half-Blood Prince,The Astronomy Tower,harry potter,All right.  Okay.,male,2009
987,Harry Potter and the Half-Blood Prince,The Astronomy Tower,harry potter,"Sir, are you... praying?",male,2009
988,Harry Potter and the Half-Blood Prince,The Astronomy Tower,albus dumbledore,"No, Harry.  I do not pray.  I was merely closing a window -- the one that had allowed us to Apparate.",male,2009
989,Harry Potter and the Half-Blood Prince,The Astronomy Tower,albus dumbledore,Hide yourself below.  And do not speak or show yourself without my permission.  No matter what.,male,2009
990,Harry Potter and the Half-Blood Prince,The Astronomy Tower,albus dumbledore,"Do as I say, Harry.",male,2009
991,Harry Potter and the Half-Blood Prince,The Astronomy Tower,albus dumbledore,Trust me.,male,2009
992,Harry Potter and the Half-Blood Prince,The Astronomy Tower,albus dumbledore,"Good evening, Draco.  What brings you out on such a fine Spring evening?  Or is it Summer?",male,2009
993,Harry Potter and the Half-Blood Prince,The Astronomy Tower,draco malfoy,Who else is here?  I heard you talking.,male,2009
994,Harry Potter and the Half-Blood Prince,The Astronomy Tower,albus dumbledore,"I often talk aloud to myself.  I find it extraordinarily useful. That which sounds sane at a whisper can seem utterly mad when said for all the world to hear. Haven't been whispering to yourself, have you, Draco?",male,2009
